вуліца Грушаўская, 180, Орша, Беларусь, 211030
завулак Наватарскі, 130, Полацк, Беларусь, 211291
вуліца Чыжоўская, 25, Бабруйск, Беларусь, 213801
вуліца Артылерыстаў, 43, Фаніпаль, Беларусь, 222750
завулак Спартыўны, 115, Вілейка, Беларусь, 222410
вуліца Крупцы, 14, Орша, Беларусь, 211030
вуліца Веры Харужай, 184, Стаубцы, Беларусь, 222660
плошча Казінца, 147, Вітебск, Беларусь, 210000
завулак Спартыўны, 163, Вітебск, Беларусь, 210000
вуліца Грыцаўца, 35, Дзяржынск, Беларусь, 222720
вуліца Валгадонская, 57, Гомель, Беларусь, 240000
вуліца Нясвіжская, 144, Стаубцы, Беларусь, 222660
вуліца Лесапаркавая, 59, Мазыр, Беларусь, 247760
вуліца Нахімава, 126, Стаубцы, Беларусь, 222660
вуліца Вільямса, 154, Стаубцы, Беларусь, 222660
вуліца Дамброўская, 25, Гомель, Беларусь, 240000
вуліца Грызадубавай, 77, Дзяржынск, Беларусь, 222720
вуліца Гараўца, 193, Ліда, Беларусь, 231300
вуліца Каліноўскага, 53, Жодзіна, Беларусь, 222160
праспект Партызанскі, 24, Магілёў, Беларусь, 212000
плошча Цэнтральная, 172, Полацк, Беларусь, 211291
вуліца Ржавецкая, 122, Фаніпаль, Беларусь, 222750
завулак Балотнікава, 38, Полацк, Беларусь, 211291
вуліца Чарнышэўскага, 137, Вітебск, Беларусь, 210000
вуліца Матусевіча, 80, Мазыр, Беларусь, 247760
вуліца Зорная, 194, Стаубцы, Беларусь, 222660
праезд Сенніцкі, 168, Ашмяны, Беларусь, 231103
праезд Мазырскі, 63, Вітебск, Беларусь, 210000
вуліца Курганная, 55, Мінск, Беларусь, 220000
вуліца Аўэзава, 151, Орша, Беларусь, 211030
вуліца Чырвонаслабодская, 144, Полацк, Беларусь, 211291
вуліца Пакроўская, 22, Полацк, Беларусь, 211291
завулак Слабадскі, 175, Фаніпаль, Беларусь, 222750
вуліца Шаблоўскага, 29, Вілейка, Беларусь, 222410
вуліца Ярашэвіцкая, 45, Дзяржынск, Беларусь, 222720
праспект Незалежнасці, 40, Вілейка, Беларусь, 222410
вуліца Вербная, 39, Гродна, Беларусь, 230000
вуліца Ляшчынскага, 45, Гродна, Беларусь, 230000
вуліца Славянская, 128, Стаубцы, Беларусь, 222660
вуліца Пірагова, 178, Мінск, Беларусь, 220000
вуліца Асіповіцкая, 187, Фаніпаль, Беларусь, 222750
вуліца Вясенняя, 153, Барысаў, Беларусь, 222120
вуліца Мядзвежына, 37, Орша, Беларусь, 211030
вуліца Карла Лібкнехта, 179, Вілейка, Беларусь, 222410
завулак Калеснікава, 170, Бабруйск, Беларусь, 213801
вуліца Азізава, 161, Ашмяны, Беларусь, 231103
вуліца Горная, 26, Мазыр, Беларусь, 247760
вуліца Хмарынская, 179, Мінск, Беларусь, 220000
вуліца Будслаўская, 48, Дзяржынск, Беларусь, 222720
вуліца Тухачэўскага, 73, Баранавічы, Беларусь, 225320
вуліца Дукорская, 94, Вітебск, Беларусь, 210000
завулак Стаханаўскі, 150, Барысаў, Беларусь, 222120
завулак Каржанеўскага, 40, Брэст, Беларусь, 224000
завулак Каржанеўскага, 51, Стаубцы, Беларусь, 222660
завулак Мацвееўскі, 181, Магілёў, Беларусь, 212000
вуліца Беларуская, 188, Мінск, Беларусь, 220000
вуліца Мядзвежына, 82, Барысаў, Беларусь, 222120
вуліца Рагачоўская, 165, Фаніпаль, Беларусь, 222750
вуліца Браслаўская, 161, Мазыр, Беларусь, 247760
вуліца Грэкава, 39, Полацк, Беларусь, 211291
вуліца Солтыса, 77, Бабруйск, Беларусь, 213801
вуліца Лучайская, 195, Барысаў, Беларусь, 222120
вуліца Судмаліса, 81, Вітебск, Беларусь, 210000
завулак Фальваркавы, 45, Мінск, Беларусь, 220000
вуліца Берсана, 116, Жодзіна, Беларусь, 222160
завулак Фабрыцыуса, 34, Гомель, Беларусь, 240000
вуліца Гагарына, 148, Баранавічы, Беларусь, 225320
вуліца Суражская, 24, Слонім, Беларусь, 231800
вуліца Аўрораўская, 97, Брэст, Беларусь, 224000
вуліца Абухоўская, 122, Барысаў, Беларусь, 222120
праезд Дачны, 84, Бабруйск, Беларусь, 213801
завулак Ярашэвіцкі, 81, Мінск, Беларусь, 220000
вуліца Гарадскі Вал, 178, Барысаў, Беларусь, 222120
завулак Масквіна, 181, Полацк, Беларусь, 211291
завулак Сядзібны, 127, Брэст, Беларусь, 224000
вуліца Пераходная, 15, Вілейка, Беларусь, 222410
вуліца Чыжэўскіх, 197, Брэст, Беларусь, 224000
вуліца Карла Маркса, 84, Стаубцы, Беларусь, 222660
вуліца Альшэўскага, 33, Бабруйск, Беларусь, 213801
вуліца Рыбалкі, 18, Брэст, Беларусь, 224000
вуліца Шчэпкіна, 86, Гомель, Беларусь, 240000
завулак Вайсковы, 91, Вілейка, Беларусь, 222410
вуліца Стаханаўская, 92, Фаніпаль, Беларусь, 222750
вуліца Свярдлова, 21, Гродна, Беларусь, 230000
вуліца Архітэктара Заборскага, 28, Гродна, Беларусь, 230000
вуліца Дача, 19, Мазыр, Беларусь, 247760
праезд Сенніцкі, 28, Стаубцы, Беларусь, 222660
вуліца Асенняя, 131, Гомель, Беларусь, 240000
вуліца Перадавая, 142, Орша, Беларусь, 211030
завулак Сурыкава, 145, Баранавічы, Беларусь, 225320
вуліца Байкальская, 158, Вітебск, Беларусь, 210000
завулак Пасялковы, 177, Жодзіна, Беларусь, 222160
вуліца Мачульскага, 72, Барысаў, Беларусь, 222120
Сморгаўскі тракт, 116, Вілейка, Беларусь, 222410
вуліца Студэнцкая, 143, Гомель, Беларусь, 240000
праспект Машэрава, 179, Ліда, Беларусь, 231300
вуліца Нагіна, 56, Мазыр, Беларусь, 247760
вуліца Радашкоўская, 83, Мазыр, Беларусь, 247760
вуліца Міхайлава, 79, Ліда, Беларусь, 231300
вуліца Ленінградская, 172, Мазыр, Беларусь, 247760
вуліца Дражня, 20, Магілёў, Беларусь, 212000
завулак Землямерны, 157, Ашмяны, Беларусь, 231103
завулак Акадэміка Жэбрака, 77, Барысаў, Беларусь, 222120
завулак Таварыскі, 173, Стаубцы, Беларусь, 222660
вуліца Тыражная, 65, Стаубцы, Беларусь, 222660
вуліца Фядотава, 67, Стаубцы, Беларусь, 222660
завулак Авангардны, 161, Слонім, Беларусь, 231800
завулак Літаратурны, 140, Полацк, Беларусь, 211291
вуліца Сяліцкага, 28, Жодзіна, Беларусь, 222160
вуліца Акрэсціна, 99, Вітебск, Беларусь, 210000
Кастрычніцкая плошча, 121, Жодзіна, Беларусь, 222160
завулак Вільямса, 131, Фаніпаль, Беларусь, 222750
завулак Сталетава, 159, Барысаў, Беларусь, 222120
вуліца Велазаводская, 97, Дзяржынск, Беларусь, 222720
вуліца Браслаўская, 178, Баранавічы, Беларусь, 225320
вуліца Ляўкова, 155, Магілёў, Беларусь, 212000
вуліца Докшыцкая, 152, Жодзіна, Беларусь, 222160
вуліца Шэйпічы, 185, Ашмяны, Беларусь, 231103
плошча Ванеева, 193, Фаніпаль, Беларусь, 222750
вуліца Рагачоўская, 74, Ліда, Беларусь, 231300
вуліца Лесі Украінкі, 63, Дзяржынск, Беларусь, 222720
вуліца Вінаградная, 75, Гродна, Беларусь, 230000
вуліца Барамзіной, 96, Жодзіна, Беларусь, 222160
вуліца Бельскага, 23, Фаніпаль, Беларусь, 222750
вуліца Шчорса, 95, Гомель, Беларусь, 240000
вуліца Тарханава, 37, Мінск, Беларусь, 220000
вуліца Беларуская, 30, Орша, Беларусь, 211030
праезд Геалагічны, 96, Дзяржынск, Беларусь, 222720
вуліца Асенняя, 173, Брэст, Беларусь, 224000
завулак Сцяпянскі, 197, Слонім, Беларусь, 231800
вуліца Саламяная, 171, Брэст, Беларусь, 224000
праезд Лошыцкі, 99, Бабруйск, Беларусь, 213801
Азярцоўскі тракт, 20, Мінск, Беларусь, 220000
завулак Казлова, 132, Дзяржынск, Беларусь, 222720
вуліца Кавальская, 164, Стаубцы, Беларусь, 222660
вуліца Нарачанская, 195, Орша, Беларусь, 211030
вуліца Генерала Антонава, 158, Гомель, Беларусь, 240000
вуліца Сяргея Ясеніна, 186, Мазыр, Беларусь, 247760
вуліца Бягомльская, 82, Гродна, Беларусь, 230000
вуліца Кулібіна, 90, Вітебск, Беларусь, 210000
вуліца Юрыя Семянякі, 128, Бабруйск, Беларусь, 213801
вуліца Фаніпальская, 164, Жодзіна, Беларусь, 222160
вуліца Ярашэвіцкая, 92, Брэст, Беларусь, 224000
вуліца Камайская, 92, Вітебск, Беларусь, 210000
праезд Тыражны, 198, Ліда, Беларусь, 231300
вуліца Пілоцкая, 62, Барысаў, Беларусь, 222120
вуліца Асенняя, 34, Стаубцы, Беларусь, 222660
вуліца Дача, 183, Баранавічы, Беларусь, 225320
завулак Амбулаторны, 57, Слонім, Беларусь, 231800
вуліца Філатава, 166, Магілёў, Беларусь, 212000
вуліца Машыністаў, 86, Брэст, Беларусь, 224000
вуліца Мічурына, 77, Брэст, Беларусь, 224000
вуліца Утульная, 71, Слонім, Беларусь, 231800
завулак Барвовы, 68, Вітебск, Беларусь, 210000
вуліца Малое Сціклева, 176, Жодзіна, Беларусь, 222160
вуліца Бярозагорская, 64, Мазыр, Беларусь, 247760
плошча Бангалор, 35, Вілейка, Беларусь, 222410
завулак Вільямса, 162, Гомель, Беларусь, 240000
завулак Міхайлаўскі, 96, Вітебск, Беларусь, 210000
праезд Наватарскі, 93, Мазыр, Беларусь, 247760
вуліца Лазарава, 199, Гродна, Беларусь, 230000
праезд Галадзеда, 114, Брэст, Беларусь, 224000
вуліца Люцынская, 173, Стаубцы, Беларусь, 222660
вуліца Выгоцкага, 86, Баранавічы, Беларусь, 225320
вуліца Вясенняя, 70, Жодзіна, Беларусь, 222160
вуліца Прылуцкая, 26, Ашмяны, Беларусь, 231103
праезд Энергетычны, 136, Фаніпаль, Беларусь, 222750
плошча Калініна, 23, Слонім, Беларусь, 231800
вуліца Міхайлава, 172, Вітебск, Беларусь, 210000
вуліца Падольская, 30, Орша, Беларусь, 211030
вуліца Гальшанская, 94, Гомель, Беларусь, 240000
вуліца Волжская, 99, Баранавічы, Беларусь, 225320
вуліца Асенняя, 135, Мазыр, Беларусь, 247760
вуліца Залатая, 15, Гомель, Беларусь, 240000
вуліца Андрэеўская, 64, Жодзіна, Беларусь, 222160
вуліца Канстанцыі Буйло, 31, Вілейка, Беларусь, 222410
вуліца Валадзько, 20, Гродна, Беларусь, 230000
праезд Кальварыйскі, 168, Вітебск, Беларусь, 210000
вуліца Мядзельская, 110, Стаубцы, Беларусь, 222660
вуліца Лермантава, 194, Гомель, Беларусь, 240000
вуліца Аэрадромная, 174, Магілёў, Беларусь, 212000
вуліца Акадэміка Жэбрака, 189, Вілейка, Беларусь, 222410
вуліца Гурскага, 28, Фаніпаль, Беларусь, 222750
вуліца Камсамольская, 10, Гомель, Беларусь, 240000
вуліца Мікуліча, 12, Бабруйск, Беларусь, 213801
вуліца Ангарская, 132, Гомель, Беларусь, 240000
завулак Пасялковы, 77, Барысаў, Беларусь, 222120
праезд Геалагічны, 71, Жодзіна, Беларусь, 222160
вуліца Чарнігаўская, 116, Фаніпаль, Беларусь, 222750
вуліца Даватара, 12, Бабруйск, Беларусь, 213801
вуліца Прамая, 120, Бабруйск, Беларусь, 213801
вуліца Нафтавая, 25, Баранавічы, Беларусь, 225320
вуліца Янкі Маўра, 144, Брэст, Беларусь, 224000
вуліца Земляробчая, 22, Стаубцы, Беларусь, 222660
праспект Машэрава, 154, Мінск, Беларусь, 220000
вуліца Аладавых, 194, Дзяржынск, Беларусь, 222720
вуліца Таежная, 12, Гродна, Беларусь, 230000
вуліца Чайлыткі, 141, Брэст, Беларусь, 224000
вуліца Свіслацкая, 116, Гомель, Беларусь, 240000
вуліца Лошыцкая, 71, Полацк, Беларусь, 211291
вуліца Убарэвіча, 131, Барысаў, Беларусь, 222120
завулак Табольскі, 126, Ліда, Беларусь, 231300
вуліца Шчотаўка, 196, Мінск, Беларусь, 220000
вуліца 3 Верасня, 86, Ашмяны, Беларусь, 231103
праезд Кальцова, 73, Жодзіна, Беларусь, 222160
вуліца Якубоўскага, 153, Баранавічы, Беларусь, 225320
праезд Аршанскі, 183, Жодзіна, Беларусь, 222160
вуліца Рагачоўская, 94, Брэст, Беларусь, 224000
вуліца Пастаўская, 198, Фаніпаль, Беларусь, 222750
вуліца Лырысы Александроўскай, 16, Магілёў, Беларусь, 212000
вуліца Жылуновіча, 143, Барысаў, Беларусь, 222120
вуліца Кіеўская, 44, Вітебск, Беларусь, 210000
вуліца Убарэвіча, 33, Мазыр, Беларусь, 247760
вуліца Яркоўская, 170, Мазыр, Беларусь, 247760
вуліца Волжская, 37, Фаніпаль, Беларусь, 222750
завулак Грушаўскі, 97, Вілейка, Беларусь, 222410
завулак Нафтавы, 23, Вітебск, Беларусь, 210000
вуліца Наўгародская, 195, Брэст, Беларусь, 224000
вуліца Ротмістрава, 151, Мінск, Беларусь, 220000
вуліца Мяснікова, 66, Мазыр, Беларусь, 247760
завулак Салаўіны, 39, Гомель, Беларусь, 240000
вуліца Серафімовіча, 96, Слонім, Беларусь, 231800
вуліца Калядная, 195, Ашмяны, Беларусь, 231103
завулак Кабушкіна, 50, Жодзіна, Беларусь, 222160
вуліца Гамарніка, 71, Вітебск, Беларусь, 210000
вуліца Янкоўскага, 137, Жодзіна, Беларусь, 222160
вуліца Якубава, 187, Вітебск, Беларусь, 210000
вуліца Пірагова, 110, Брэст, Беларусь, 224000
Старавіленскі тракт, 190, Барысаў, Беларусь, 222120
вуліца Уладзіслава Галубка, 176, Вітебск, Беларусь, 210000
вуліца Панамарэнкі, 127, Ліда, Беларусь, 231300
завулак Праязны, 77, Магілёў, Беларусь, 212000
вуліца Тупіковая, 192, Баранавічы, Беларусь, 225320
вуліца Уральская, 118, Полацк, Беларусь, 211291
вуліца Ульянаўская, 93, Баранавічы, Беларусь, 225320
вуліца 3 Верасня, 169, Вілейка, Беларусь, 222410
вуліца Гагарына, 181, Барысаў, Беларусь, 222120
завулак Мядзвежына, 143, Стаубцы, Беларусь, 222660
вуліца Сядзібная, 13, Полацк, Беларусь, 211291
вуліца Суражская, 94, Слонім, Беларусь, 231800
вуліца Ушацкая, 90, Фаніпаль, Беларусь, 222750
вуліца Вавілава, 166, Гомель, Беларусь, 240000
вуліца Шацько, 51, Вітебск, Беларусь, 210000
вуліца Цяністая, 20, Стаубцы, Беларусь, 222660
завулак Веснінка, 61, Магілёў, Беларусь, 212000
вуліца Парашутная, 35, Слонім, Беларусь, 231800
завулак Агатавы, 67, Вітебск, Беларусь, 210000
плошча Ванеева, 179, Вілейка, Беларусь, 222410
праезд Даўгінаўскі, 26, Брэст, Беларусь, 224000
завулак Зарачанскі, 112, Гомель, Беларусь, 240000
вуліца Лугавая, 166, Мазыр, Беларусь, 247760
вуліца Міхася Чарота, 29, Гродна, Беларусь, 230000
вуліца Высокая, 157, Барысаў, Беларусь, 222120
вуліца Дзекабрыстаў, 175, Слонім, Беларусь, 231800
вуліца Ташкенцкая, 71, Полацк, Беларусь, 211291
завулак Пуцейскі, 99, Фаніпаль, Беларусь, 222750
вуліца Шчукіна, 198, Орша, Беларусь, 211030
вуліца Серафімовіча, 178, Жодзіна, Беларусь, 222160
завулак Верхні, 154, Бабруйск, Беларусь, 213801
вуліца Будслаўская, 185, Фаніпаль, Беларусь, 222750
вуліца Маргелава, 111, Вілейка, Беларусь, 222410
вуліца Беларуская, 157, Гродна, Беларусь, 230000
вуліца Калядная, 64, Слонім, Беларусь, 231800
завулак Ушакова, 56, Бабруйск, Беларусь, 213801
вуліца Нікіціна, 30, Брэст, Беларусь, 224000
вуліца Янкі Купалы, 68, Мазыр, Беларусь, 247760
вуліца Сустрэчная, 156, Брэст, Беларусь, 224000
вуліца Пугачоўская, 127, Вілейка, Беларусь, 222410
завулак Ціхі, 150, Фаніпаль, Беларусь, 222750
вуліца Андрэеўская, 176, Вітебск, Беларусь, 210000
завулак Ермака, 124, Дзяржынск, Беларусь, 222720
завулак Раўбіцкі, 129, Гомель, Беларусь, 240000
вуліца Олешава, 58, Фаніпаль, Беларусь, 222750
завулак Пятроўшчына, 178, Магілёў, Беларусь, 212000
вуліца Мачульскага, 196, Брэст, Беларусь, 224000
праезд Чакаліна, 84, Баранавічы, Беларусь, 225320
вуліца Масквіна, 28, Гродна, Беларусь, 230000
вуліца Клары Цэткін, 85, Слонім, Беларусь, 231800
вуліца Даватара, 121, Ашмяны, Беларусь, 231103
вуліца Сацыялістычная, 173, Ашмяны, Беларусь, 231103
завулак Аўтадораўскі, 119, Брэст, Беларусь, 224000
вуліца Максіма Гарэцкага, 42, Брэст, Беларусь, 224000
вуліца Чырваназоркавая, 67, Гродна, Беларусь, 230000
вуліца Лілі Карастаянавай, 96, Слонім, Беларусь, 231800
завулак Музычны, 118, Вітебск, Беларусь, 210000
вуліца Клумава, 37, Магілёў, Беларусь, 212000
вуліца Цяпінскага, 31, Баранавічы, Беларусь, 225320
вуліца Суворава, 69, Гомель, Беларусь, 240000
вуліца Кабушкіна, 53, Дзяржынск, Беларусь, 222720
вуліца Папова, 79, Гродна, Беларусь, 230000
завулак Кузьмы Чорнага, 184, Бабруйск, Беларусь, 213801
вуліца Курганная, 159, Фаніпаль, Беларусь, 222750
вуліца Крайняя, 27, Магілёў, Беларусь, 212000
вуліца Чыгуначная, 159, Гродна, Беларусь, 230000
Траецкая набярэжная, 72, Ліда, Беларусь, 231300
вуліца Перадавая, 43, Магілёў, Беларусь, 212000
праезд Кальцова, 110, Вітебск, Беларусь, 210000
завулак Салаўіны, 131, Дзяржынск, Беларусь, 222720
вуліца Натуралістаў, 197, Барысаў, Беларусь, 222120
завулак Калініна, 36, Ашмяны, Беларусь, 231103
вуліца Навуковая, 161, Бабруйск, Беларусь, 213801
завулак Залаты, 89, Полацк, Беларусь, 211291
вуліца Запрудная, 67, Мінск, Беларусь, 220000
вуліца Альшэўскага, 123, Орша, Беларусь, 211030
вуліца Навасельская, 22, Дзяржынск, Беларусь, 222720
праезд Клубны, 12, Жодзіна, Беларусь, 222160
вуліца Пімена Панчанкі, 33, Жодзіна, Беларусь, 222160
вуліца Дзісенская, 50, Брэст, Беларусь, 224000
вуліца Ротмістрава, 35, Брэст, Беларусь, 224000
вуліца Батанічная, 85, Фаніпаль, Беларусь, 222750
вуліца Карла Лібкнехта, 16, Ашмяны, Беларусь, 231103
вуліца Ушацкая, 172, Стаубцы, Беларусь, 222660
вуліца Нагорная, 126, Гомель, Беларусь, 240000
вуліца Горная, 88, Фаніпаль, Беларусь, 222750
плошча Францішка Багушэвіча, 135, Стаубцы, Беларусь, 222660
завулак Фізкультурны, 129, Стаубцы, Беларусь, 222660
вуліца Цэнтральная, 77, Баранавічы, Беларусь, 225320
вуліца Янтарная, 199, Ліда, Беларусь, 231300
вуліца Агарова, 57, Вілейка, Беларусь, 222410
праезд Слабадскі, 146, Вілейка, Беларусь, 222410
завулак Высокі, 127, Мінск, Беларусь, 220000
вуліца Пілоцкая, 135, Магілёў, Беларусь, 212000
завулак Школьны, 194, Ліда, Беларусь, 231300
вуліца Берсана, 21, Дзяржынск, Беларусь, 222720
вуліца Байкальская, 85, Жодзіна, Беларусь, 222160
праезд Волжскі, 118, Вілейка, Беларусь, 222410
завулак Паравозны, 197, Вілейка, Беларусь, 222410
вуліца Галавачова, 169, Полацк, Беларусь, 211291
вуліца Крывіцкая, 194, Брэст, Беларусь, 224000
праезд Кальварыйскі, 127, Вілейка, Беларусь, 222410
завулак Фабрыцыуса, 184, Гомель, Беларусь, 240000
вуліца Выгоцкага, 180, Ліда, Беларусь, 231300
праспект Газеты Праўда, 49, Стаубцы, Беларусь, 222660
вуліца Хмяльніцкага, 141, Мінск, Беларусь, 220000
вуліца Качынская, 168, Вілейка, Беларусь, 222410
вуліца Панамарова, 129, Стаубцы, Беларусь, 222660
вуліца Фабрыцыуса, 154, Баранавічы, Беларусь, 225320
вуліца Пятра Глебкі, 141, Баранавічы, Беларусь, 225320
вуліца Барвовая, 74, Гомель, Беларусь, 240000
вуліца Зацішша, 45, Магілёў, Беларусь, 212000
вуліца Цяпінскага, 166, Гродна, Беларусь, 230000
вуліца Кандрата Крапівы, 142, Ашмяны, Беларусь, 231103
вуліца Літаратурная, 91, Гомель, Беларусь, 240000
завулак Верхні, 140, Жодзіна, Беларусь, 222160
вуліца Фрунзэ, 168, Магілёў, Беларусь, 212000
вуліца Друйская, 71, Мазыр, Беларусь, 247760
вуліца Някрасава, 67, Стаубцы, Беларусь, 222660
вуліца Лейтэнанта Кіжаватава, 176, Жодзіна, Беларусь, 222160
вуліца Акрэсціна, 132, Баранавічы, Беларусь, 225320
праезд Сморгаўскі, 141, Дзяржынск, Беларусь, 222720
вуліца Слуцкай, 124, Мазыр, Беларусь, 247760
вуліца Абухоўская, 136, Полацк, Беларусь, 211291
вуліца Тупіковая, 168, Брэст, Беларусь, 224000
вуліца Шасэйная, 191, Вітебск, Беларусь, 210000
вуліца Уфімская, 141, Вітебск, Беларусь, 210000
завулак Паравозны, 161, Полацк, Беларусь, 211291
вуліца Наваўфімская, 28, Слонім, Беларусь, 231800
вуліца Шабаны, 97, Ліда, Беларусь, 231300
завулак Нахімава, 86, Мазыр, Беларусь, 247760
вуліца Дзекабрыстаў, 155, Бабруйск, Беларусь, 213801
вуліца Пераходная, 186, Слонім, Беларусь, 231800
вуліца Брыкета, 25, Баранавічы, Беларусь, 225320
вуліца Лошыцкая, 180, Фаніпаль, Беларусь, 222750
вуліца Кальцова, 50, Ашмяны, Беларусь, 231103
завулак Брацкі, 117, Слонім, Беларусь, 231800
праезд Жукоўскага, 70, Вілейка, Беларусь, 222410
завулак Шкляны, 165, Гомель, Беларусь, 240000
вуліца Сямашкі, 128, Бабруйск, Беларусь, 213801
праспект Машэрава, 145, Жодзіна, Беларусь, 222160
праспект Дзяржынскага, 170, Полацк, Беларусь, 211291
вуліца Максіма Гарэцкага, 198, Магілёў, Беларусь, 212000
вуліца Гурскага, 119, Стаубцы, Беларусь, 222660
вуліца Шорная, 133, Стаубцы, Беларусь, 222660
вуліца Чарнігаўская, 128, Мінск, Беларусь, 220000
вуліца Меліярацыйная, 42, Брэст, Беларусь, 224000
вуліца Лазарава, 168, Мінск, Беларусь, 220000
завулак Пуцейскі, 198, Бабруйск, Беларусь, 213801
вуліца Аўтадораўская, 60, Магілёў, Беларусь, 212000
вуліца Вілейская, 186, Баранавічы, Беларусь, 225320
вуліца Цяплічная, 117, Дзяржынск, Беларусь, 222720
вуліца Убарэвіча, 130, Барысаў, Беларусь, 222120
вуліца Гурскага, 127, Жодзіна, Беларусь, 222160
вуліца Скрыпнікава, 40, Мінск, Беларусь, 220000
Лагойскі тракт, 76, Ліда, Беларусь, 231300
вуліца Ураджайная, 132, Бабруйск, Беларусь, 213801
вуліца Чыгуначная, 24, Фаніпаль, Беларусь, 222750
вуліца Вызвалення, 74, Баранавічы, Беларусь, 225320
вуліца Міхайлава, 161, Мінск, Беларусь, 220000
вуліца Ракаўская, 46, Баранавічы, Беларусь, 225320
вуліца Карла Маркса, 20, Вітебск, Беларусь, 210000
вуліца Генадзя Цітовіча, 117, Магілёў, Беларусь, 212000
плошча Казінца, 19, Гомель, Беларусь, 240000
вуліца Аршанская, 193, Гомель, Беларусь, 240000
плошча Прывакзальная, 115, Дзяржынск, Беларусь, 222720
вуліца Заходняя, 20, Ашмяны, Беларусь, 231103
вуліца Міхася Чарота, 182, Ашмяны, Беларусь, 231103
праезд Бетонны, 16, Полацк, Беларусь, 211291
вуліца Убарэвіча, 27, Баранавічы, Беларусь, 225320
вуліца Мядзельская, 86, Жодзіна, Беларусь, 222160
вуліца Берасцянская, 172, Вілейка, Беларусь, 222410
вуліца Лугавая, 79, Полацк, Беларусь, 211291
вуліца Макаранкі, 137, Фаніпаль, Беларусь, 222750
вуліца Залатая Горка, 110, Слонім, Беларусь, 231800
завулак Адзінцова, 192, Гомель, Беларусь, 240000
вуліца Бумажкова, 178, Вітебск, Беларусь, 210000
завулак Ермака, 169, Слонім, Беларусь, 231800
завулак Бумажкова, 94, Полацк, Беларусь, 211291
вуліца Гродзенская, 141, Мазыр, Беларусь, 247760
вуліца Рачная, 23, Вілейка, Беларусь, 222410
вуліца Генадзя Цітовіча, 50, Дзяржынск, Беларусь, 222720
вуліца Акрэсціна, 153, Полацк, Беларусь, 211291
вуліца Бярэзінская, 119, Жодзіна, Беларусь, 222160
вуліца Валачаеўская, 30, Орша, Беларусь, 211030
вуліца Цнянская, 52, Дзяржынск, Беларусь, 222720
вуліца Свярдлова, 40, Полацк, Беларусь, 211291
вуліца Міхася Лынькова, 67, Орша, Беларусь, 211030
вуліца Карпава, 51, Жодзіна, Беларусь, 222160
вуліца Гінтаўта, 141, Барысаў, Беларусь, 222120
вуліца Гінтаўта, 182, Мазыр, Беларусь, 247760
вуліца Паўлава, 35, Мінск, Беларусь, 220000
вуліца Калектарная, 116, Фаніпаль, Беларусь, 222750
вуліца Кірава, 167, Вітебск, Беларусь, 210000
завулак Таварыскі, 23, Стаубцы, Беларусь, 222660
вуліца Хмарынская, 93, Мінск, Беларусь, 220000
вуліца Партызанская, 55, Ліда, Беларусь, 231300
вуліца Грэбелькі, 171, Вітебск, Беларусь, 210000
вуліца Гебелева, 183, Жодзіна, Беларусь, 222160
вуліца Вінаградная, 118, Мазыр, Беларусь, 247760
вуліца Юрыя Семянякі, 89, Дзяржынск, Беларусь, 222720
завулак Барвовы, 76, Барысаў, Беларусь, 222120
вуліца Маршала Лосіка, 160, Гомель, Беларусь, 240000
вуліца Радашкоўская, 113, Гродна, Беларусь, 230000
вуліца Вербная, 185, Брэст, Беларусь, 224000
вуліца Шырокая, 128, Слонім, Беларусь, 231800
завулак Калінінградскі, 180, Вітебск, Беларусь, 210000
вуліца Полацкая, 165, Стаубцы, Беларусь, 222660
вуліца Алеся Бачылы, 34, Мінск, Беларусь, 220000
вуліца Маршала Лосіка, 151, Гродна, Беларусь, 230000
вуліца Кірыла і Мяфодзія, 192, Дзяржынск, Беларусь, 222720
завулак Стаханаўскі, 178, Бабруйск, Беларусь, 213801
вуліца Кунцаўшчына, 168, Вілейка, Беларусь, 222410
вуліца Панфілава, 171, Дзяржынск, Беларусь, 222720
вуліца Уладзіслава Сыракомлі, 122, Фаніпаль, Беларусь, 222750
плошча Прывакзальная, 196, Мазыр, Беларусь, 247760
вуліца Макаранкі, 28, Мазыр, Беларусь, 247760
завулак Баравецкі, 95, Орша, Беларусь, 211030
вуліца Няжданавай, 110, Вілейка, Беларусь, 222410
вуліца Трасцянецкая, 146, Гомель, Беларусь, 240000
вуліца Сонечная, 190, Брэст, Беларусь, 224000
вуліца Праграмістаў, 41, Магілёў, Беларусь, 212000
вуліца Альховая, 56, Слонім, Беларусь, 231800
завулак Рабочы, 184, Ашмяны, Беларусь, 231103
вуліца Бельскага, 19, Жодзіна, Беларусь, 222160
вуліца Малаковіч, 171, Брэст, Беларусь, 224000
вуліца Мачульскага, 77, Орша, Беларусь, 211030
вуліца Язмінавая, 10, Баранавічы, Беларусь, 225320
вуліца Крупскай, 15, Брэст, Беларусь, 224000
праспект Газеты Праўда, 41, Стаубцы, Беларусь, 222660
вуліца Уладзіміра Дубоўкі, 18, Дзяржынск, Беларусь, 222720
вуліца Карла Маркса, 80, Баранавічы, Беларусь, 225320
вуліца Чыгуначная, 147, Слонім, Беларусь, 231800
вуліца Акадэміка Жэбрака, 66, Ліда, Беларусь, 231300
праспект Газеты Праўда, 112, Полацк, Беларусь, 211291
завулак Юбілейны, 81, Гродна, Беларусь, 230000
